DATE,price_per_kg,day_of_week,month,week_of_year,day_of_month,season,rolling_mean_3,rolling_mean_5,rolling_mean_7,lag_1,lag_3,lag_5,rolling_std_3,rolling_std_5,rolling_std_7
2010-05-22,2540.0,5.0,5.0,20,22.0,1.0,2540.0,2532.0,2542.8571428571427,2540.0,2490.0,2550.0,0.0,23.874672772626646,29.27700218848707
2010-05-23,2540.0,6.0,5.0,20,23.0,1.0,2540.0,2530.0,2535.714285714286,2540.0,2540.0,2550.0,0.0,22.360679774997898,20.701966780315967
2010-05-24,2510.0,0.0,5.0,21,24.0,1.0,2530.0,2534.0,2530.0,2540.0,2540.0,2490.0,17.320508075690046,13.416407864998739,21.602468994737446
2010-05-25,2290.0,1.0,5.0,21,25.0,1.0,2446.6666666666665,2484.0,2492.8571428571427,2510.0,2540.0,2540.0,136.50396819628855,109.22453936730518,91.5995425233033
2010-05-26,2290.0,2.0,5.0,21,26.0,1.0,2363.3333333333335,2434.0,2464.285714285714,2290.0,2540.0,2540.0,127.01705922171776,132.0227253165151,119.56269524914792
2010-05-27,2310.0,3.0,5.0,21,27.0,1.0,2296.6666666666665,2388.0,2431.4285714285716,2290.0,2510.0,2540.0,11.547005383794234,125.777581468241,126.67919737518821
2010-05-28,2250.0,4.0,5.0,21,28.0,1.0,2283.3333333333335,2330.0,2390.0,2310.0,2290.0,2540.0,30.550504633039658,102.95630140987001,132.5393023471526
2010-05-29,2250.0,5.0,5.0,21,29.0,1.0,2270.0,2278.0,2348.5714285714284,2250.0,2290.0,2510.0,34.641016151378196,26.832815729997478,122.80452915489762
2010-05-30,2250.0,6.0,5.0,21,30.0,1.0,2250.0,2270.0,2307.1428571428573,2250.0,2310.0,2290.0,0.0,28.284271247461902,92.68482179127489
2010-05-31,2230.0,0.0,5.0,22,31.0,1.0,2243.3333333333335,2258.0,2267.1428571428573,2250.0,2250.0,2290.0,11.54700538379453,30.331501776206203,29.27700218853524
2010-06-01,2230.0,1.0,6.0,22,1.0,2.0,2236.6666666666665,2242.0,2258.5714285714284,2230.0,2250.0,2310.0,11.54700538379453,10.954451150103322,30.237157840816497
2010-06-02,2230.0,2.0,6.0,22,2.0,2.0,2230.0,2238.0,2250.0,2230.0,2250.0,2250.0,0.0,10.954451150103322,28.284271247547345
